Image_path,Label
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (1).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (10).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (11).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (12).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (13).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (14).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (15).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (2).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (3).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (4).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (5).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (6).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (7).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (8).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_1 (9).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (1).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (10).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (11).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (12).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (13).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (14).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (15).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (16).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (17).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (18).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (19).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (2).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (3).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (4).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (5).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (6).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (7).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (8).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_10 (9).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (1).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (10).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (11).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (12).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (13).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (14).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (15).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (16).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (17).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (18).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (19).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (2).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (20).jpg,HISIL
c:\Users\IA\Desktop\citology pipeline Train\Dataset\Tile\HISIL\HSIL_2 (3).jpg,HISIL
